年,再生能源,燃煤,燃油,燃氣,汽電共生,抽蓄水力,核能
39,9.69,0.68,0.01,0,0,0,0
40,11.59,1.22,0.01,0,0,0,0
41,12.31,1.88,0.01,0,0,0,0
42,14.62,0.98,0.02,0,0,0,0
43,15.65,2.38,0.03,0,0,0,0
44,15.31,4.26,0.09,0,0,0,0
45,16.53,5.87,0.1,0,0,0,0
46,19.39,6.03,0.14,0,0,0,0
47,18.59,10.02,0.19,0,0,0,0
48,20.11,11.82,0.2,0,0,0,0
49,20.65,15.25,0.38,0,0,0,0
50,23.39,16.96,0.49,0,0,0,0
51,21.61,24.97,0.35,0,0,0,0
52,19.31,30.23,0.64,0,0,0,0
53,23.59,34.92,0.63,0,0,0,0
54,25.86,28.74,9.96,0,0,0,0
55,26.61,26.54,20.26,0,0,0,0
56,26.34,19.59,38.2,0,0,0,0
57,38.64,14.34,39.69,5.35,0,0,0
58,30.52,10.67,63.27,6.73,0,0,0
59,28.46,7.38,91.1,5.19,0,0,0
60,30.71,8.81,106.14,6.05,0,0,0
61,36.21,10.37,121.94,5.98,0,0,0
62,33.78,5.49,153.87,4.92,0,0,0
63,46.83,9,142.85,6.65,0,0,0
64,52.34,15.55,156.51,4.53,0,0,0
65,42.6,10.77,209.26,6.14,0,0,0
66,39.99,15.15,237.86,3.33,0,0,0.91
67,49.39,11.95,257.7,0,0,0,25.28
68,45.44,39.45,234.03,0,0,0,60.05
69,29.05,56.88,244.08,0,0,0,78.12
70,47.69,43.56,208.51,0.01,0,0,101.73
71,47.57,39.74,196.38,0.08,0,0,125.21
72,49.67,76.61,147.47,0.05,0,0,181.38
73,43.66,118.72,94.06,0.04,0,0.44,235.95
74,59.76,130.77,50.3,0.03,0,9.25,275.46
75,61.12,186.49,71.4,0.05,0,12.89,258.37
76,54.85,206.62,59.56,0.03,0,16.09,317.99
77,46.53,210.66,150.45,0.03,0,14.8,293.95
78,48.4,222.98,208.49,0.03,0,18.19,271
79,63.6,204.67,208.73,10.11,2.78,18.07,315.54
80,38.32,234.63,237.24,25.77,5.11,16.54,338.78
81,65.33,297.02,196.31,27.24,10.3,17.95,324.71
82,40.86,351.88,233.67,22.81,12.66,26.1,329.86
83,50.4,381.76,234.94,49.66,12.95,38.25,334.8
84,48.18,390.79,284.3,54.01,21.61,40.4,339.31
85,47.21,465.91,243.02,57.57,29.68,43.01,363.33
86,52.22,510.99,251.13,85.39,31.08,43.21,348.46
87,61.78,547.98,251.39,137.37,33,44.06,354.08
88,50.26,561.73,253.76,145.88,37.99,38.91,369.07
89,45.41,618.1,242.21,164.96,81.45,43.03,369.96
90,50.73,673,198.02,196.24,80.96,40.7,340.94
91,27.62,731.24,149.1,250.8,84.11,36.04,380.09
92,30.22,790.24,131.26,271.27,102.89,38.52,373.71
93,31.99,782.09,108.69,346.95,129.96,33.38,379.39
94,41.33,826.91,104.3,374.22,127.54,38.3,384.04
95,65.62,857.66,137.43,386.64,96.13,39.02,383.17
96,71.44,875.04,116.34,431.8,95.08,39.24,389.61
97,71.65,853.35,108.91,466.13,75.17,34.59,392.6
98,68.4,831.42,57.88,455.02,90.63,32.9,399.81
99,75.54,838.16,77.94,579.99,71.45,30.47,400.29
100,79.39,858.7,69.08,620.51,68.62,28.89,405.22
101,96.49,859.86,53.33,640.92,48.36,29.24,388.87
102,97.49,819.21,49.36,663.02,72.67,31.74,400.79
103,87.87,823.67,62.39,709.17,70.04,31.08,408.01
104,92.89,782.43,102.59,769.15,62.32,30.23,351.43
105,115.97,833.14,100.34,811.85,59.19,32.82,304.61
106,112.46,905.2,111.7,891.2,41.4,33.22,215.6
107,114.14,905.15,65.93,901.04,46.48,33.59,266.56
108,140.47,867.47,44.26,887.6,41.5,31.96,311.47
109,137.8,870.53,30.64,974.4,41.02,31.47,303.42
110,157.77,882.06,39.50,1057.53,51.31,31.73,268.18